"filename", "language", "YAML", "Dart", "C++", "Markdown", "JSON", "XML", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"c:\Users\Maciek\FlutterProjects\sneakers\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 53, 0, 0, 2, 12, 67
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\google-services.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 39
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 16, 1, 48
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Maciek\FlutterProjects\sneakers\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\Maciek\FlutterProjects\sneakers\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\Maciek\FlutterProjects\sneakers\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Maciek\FlutterProjects\sneakers\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\Maciek\FlutterProjects\sneakers\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Maciek\FlutterProjects\sneakers\assets\icons\Edit.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
